Monthly_Spending,Visit_Frequency,Customer_Support_Calls,Membership_Years,Discounts_Used,Churn
282,20,1,6,6,0
228,5,6,1,13,0
295,11,7,6,1,0
498,23,0,6,15,0
258,18,7,8,9,0
81,4,2,5,13,0
302,20,0,9,6,0
398,22,6,9,1,0
419,28,9,8,9,0
207,27,2,2,1,0
89,7,7,7,12,0
394,4,8,3,1,0
146,10,1,0,9,0
222,1,0,6,13,0
336,17,7,2,16,0
116,5,9,3,18,0
457,17,5,2,11,0
216,3,9,5,16,0
161,9,0,9,5,0
142,3,2,0,3,0
444,3,8,9,1,0
175,29,8,6,14,0
422,9,5,9,15,0
439,5,2,7,11,0
189,28,7,2,6,0
130,24,5,8,12,0
183,10,0,1,0,0
340,15,5,9,18,0
77,25,4,9,12,0
196,12,7,8,0,0
147,6,1,4,1,0
363,7,6,5,0,0
397,7,5,1,11,0
317,23,0,4,9,0
339,4,7,5,1,0
490,29,5,4,0,0
247,13,2,3,4,0
27,15,4,7,1,0
85,18,6,1,3,0
444,18,8,0,13,0
160,7,3,1,8,0
117,10,1,3,5,0
162,16,2,0,11,0
325,23,6,8,11,0
46,26,7,0,8,0
461,23,4,4,14,0
342,29,2,7,9,0
155,8,0,8,1,0
135,19,9,8,17,0
294,29,0,7,6,0
117,11,1,5,8,0
295,21,4,5,19,0
249,6,2,8,17,0
384,29,6,1,2,0
111,24,1,2,12,0
229,24,1,5,9,0
16,10,2,7,16,0
225,19,0,6,2,0
178,28,1,7,8,0
83,14,4,4,16,0
302,20,2,8,15,0
36,6,9,5,5,0
286,4,5,9,17,0
493,26,1,1,5,0
52,20,7,5,5,0
316,15,3,3,16,0
102,5,2,4,9,0
80,16,4,4,1,0
278,26,7,0,0,0
118,7,8,9,10,0
190,28,0,4,5,0
224,2,3,9,0,0
456,13,5,8,15,0
123,2,5,7,8,0
194,28,8,7,11,0
418,26,0,2,8,0
134,9,4,8,12,0
114,20,9,8,6,0
246,5,0,9,0,0
150,3,5,6,2,0
302,2,8,5,2,0
167,14,3,8,18,0
483,26,9,5,3,0
405,8,9,2,11,0
458,20,8,5,3,0
283,12,2,1,9,0
387,17,6,1,3,0
350,29,4,6,10,0
126,16,9,7,3,0
383,6,0,6,10,0
71,6,6,4,16,0
33,18,7,3,19,0
69,2,5,7,19,0
410,8,0,8,12,0
371,27,8,6,16,0
325,23,6,0,12,0
274,14,5,3,16,0
189,2,3,3,18,0
241,26,2,9,19,0
485,17,3,2,14,0
152,27,0,3,3,0
342,24,8,8,17,0
421,16,1,0,10,0
254,26,1,1,8,0
90,18,2,6,15,0
135,21,0,8,2,0
146,6,9,6,17,0
65,26,2,0,16,0
222,17,3,6,9,0
103,18,8,5,4,0
392,14,4,0,14,0
468,10,5,0,19,0
487,4,0,1,17,0
301,18,2,5,4,0
137,11,6,3,14,0
449,22,6,3,5,0
226,16,9,5,7,0
208,4,0,8,2,0
29,27,8,0,4,0
64,19,0,1,17,0
255,6,6,7,14,0
260,25,1,7,11,0
69,8,8,5,18,0
172,18,8,5,6,0
211,19,8,7,0,0
236,18,3,1,1,0
138,16,5,1,18,0
471,26,1,0,12,0
54,7,2,5,19,0
206,25,5,5,17,0
433,17,0,5,9,0
175,27,6,1,12,0
256,3,1,6,4,0
235,22,7,2,12,0
289,15,4,0,8,0
269,4,6,0,0,0
356,26,7,8,5,0
206,16,2,2,0,0
116,14,5,7,17,0
278,26,8,9,15,0
241,17,3,6,7,0
414,9,9,1,5,0
110,7,6,1,12,0
169,14,0,3,16,0
431,27,6,1,12,0
104,28,8,4,9,0
425,23,9,9,5,0
216,12,7,6,17,0
322,17,3,1,19,0
441,9,2,8,12,0
423,12,6,0,14,0
244,12,0,1,5,0
336,8,7,6,10,0
431,27,0,4,7,0
488,28,6,0,13,0
437,10,5,3,12,0
163,12,9,7,1,0
109,5,7,4,0,0
247,20,5,1,4,0
116,1,4,8,10,0
355,9,8,0,9,0
373,15,3,0,11,0
139,24,6,9,9,0
308,29,5,4,8,0
52,2,9,8,1,0
72,4,5,5,3,0
82,4,4,4,3,0
195,29,1,5,5,0
126,23,3,5,11,0
313,3,0,8,6,0
14,16,8,8,18,0
484,8,8,4,1,0
85,27,7,3,18,0
300,7,3,0,3,0
358,26,4,5,2,0
409,12,0,6,3,0
92,12,3,6,13,0
442,4,3,0,5,0
69,15,4,5,5,0
116,25,1,7,8,0
126,6,1,2,4,0
316,3,1,0,6,0
392,7,7,6,12,0
356,22,1,3,0,0
91,24,5,4,1,0
324,21,1,1,19,0
329,6,7,6,9,0
370,1,0,0,5,0
150,8,1,3,3,0
231,1,4,7,7,0
419,16,5,6,13,0
79,3,8,6,15,0
396,28,5,6,14,0
480,2,7,4,12,0
21,6,6,9,11,0
306,8,0,2,6,0
114,24,1,9,14,0
216,7,3,6,5,0
74,7,0,7,13,0
72,24,7,6,14,0
187,21,3,5,10,0
440,19,6,8,3,0
17,18,6,5,4,0
168,3,7,4,1,0
20,11,8,5,19,0
282,11,8,9,14,0
420,3,6,3,9,0
389,28,8,5,3,0
104,23,4,3,7,0
164,1,9,4,10,0
215,23,3,5,16,0
124,22,2,0,6,0
388,27,5,5,10,0
96,10,9,5,9,0
321,2,8,0,0,0
206,26,3,6,7,0
359,17,1,9,4,0
107,9,2,4,12,0
440,18,2,7,6,0
28,20,1,4,10,0
322,9,8,9,11,0
424,25,3,4,13,0
25,28,2,1,11,0
54,11,9,3,0,0
164,17,5,3,5,0
454,14,7,9,10,0
419,18,7,9,10,0
240,18,9,7,11,0
166,12,5,2,0,0
122,18,4,0,19,0
386,8,6,6,19,0
368,29,2,8,5,0
392,8,9,5,12,0
53,26,1,1,11,0
374,28,7,1,9,0
422,8,8,0,6,0
374,28,5,5,9,0
119,20,3,7,17,0
120,15,5,0,5,0
232,8,6,0,7,0
395,14,7,0,19,0
399,13,2,9,8,0
274,23,5,4,15,0
280,8,9,6,1,0
221,17,5,3,10,0
323,19,9,0,18,0
267,26,6,0,3,0
396,6,3,9,2,0
256,17,5,2,14,0
445,4,1,4,7,0
64,25,7,4,3,0
318,7,2,8,10,0
359,17,8,8,16,0
81,29,7,8,8,0
305,28,5,7,0,0
222,22,9,8,7,0
304,22,1,7,1,0
180,28,7,7,12,0
255,18,5,7,0,0
150,6,0,7,9,0
113,10,5,4,11,0
114,18,4,9,10,0
249,24,5,2,9,0
430,7,0,3,13,0
320,14,3,8,13,0
425,22,6,6,7,0
407,14,4,8,10,0
330,10,5,6,8,0
420,22,1,7,14,0
289,25,7,2,0,0
380,9,9,7,18,0
378,26,3,3,17,0
31,10,5,5,11,0
87,2,2,0,7,0
310,3,8,1,4,0
401,16,7,6,12,0
484,10,5,5,16,0
204,23,8,9,0,0
329,11,9,4,1,0
362,10,8,6,6,0
380,12,1,1,1,0
440,29,8,9,3,0
30,14,7,3,12,0
169,9,1,4,13,0
241,28,8,7,19,0
370,13,4,5,2,0
310,6,8,5,8,0
53,11,2,4,17,0
306,1,3,9,15,0
361,27,0,4,18,0
189,15,4,0,19,0
481,7,6,3,8,0
404,11,6,8,18,0
110,17,5,1,5,0
124,5,5,5,11,0
222,9,7,1,14,0
27,26,9,8,5,0
404,16,8,4,4,0
36,11,3,8,13,0
436,26,3,9,18,0
367,25,7,4,17,0
458,17,4,8,12,0
447,6,9,1,8,0
294,15,8,6,19,0
158,29,5,7,6,0
294,3,8,2,11,0
146,28,3,0,8,0
198,9,0,1,1,0
199,12,3,9,2,0
208,19,8,4,4,0
111,18,6,8,17,0
488,16,5,4,13,0
100,8,1,0,18,0
499,19,3,0,4,0
233,5,0,1,9,0
14,12,2,0,15,0
362,6,1,7,19,0
24,12,3,1,0,0
450,26,3,7,3,0
14,15,8,4,4,0
413,10,6,0,10,0
239,17,2,3,13,0
366,7,6,1,10,0
346,27,7,5,7,0
123,7,6,4,0,0
13,21,7,8,6,0
193,25,8,2,12,0
222,11,0,4,19,0
256,2,9,9,5,0
43,21,5,6,3,0
305,2,3,8,11,0
462,14,0,2,4,0
205,18,1,3,4,0
415,16,9,0,16,0
136,28,3,1,5,0
151,11,0,2,9,0
461,9,5,9,15,0
145,7,0,6,13,0
137,4,8,6,9,0
332,16,9,0,16,0
183,14,2,8,4,0
422,11,0,2,1,0
227,8,5,2,3,0
123,11,5,1,17,0
384,27,6,2,7,0
359,29,6,5,13,0
21,20,9,9,12,0
472,17,3,3,6,0
253,28,4,1,8,0
61,26,2,7,3,0
195,19,5,0,4,0
242,10,6,9,14,0
11,12,8,7,8,0
10,1,8,1,17,1
248,2,4,8,13,0
64,18,3,3,14,0
229,7,6,3,0,0
113,16,2,6,18,0
364,13,3,2,0,0
427,4,8,9,5,0
457,10,4,2,7,0
333,28,9,3,3,0
347,9,6,9,15,0
405,18,1,2,10,0
315,9,8,9,3,0
286,22,4,7,10,0
19,10,4,8,9,0
350,8,3,4,16,0
113,23,7,2,8,0
354,11,3,6,9,0
379,13,1,2,7,0
474,24,4,5,13,0
380,13,2,3,12,0
207,16,3,6,2,0
23,13,2,5,13,0
494,25,6,6,13,0
177,12,5,3,2,0
369,15,1,5,15,0
347,29,7,9,9,0
39,16,4,6,3,0
466,8,5,9,19,0
23,6,7,7,17,0
247,24,6,9,3,0
445,8,2,8,1,0
375,2,1,2,10,0
410,18,2,4,14,0
71,11,7,9,10,0
491,17,3,2,5,0
119,10,7,4,17,0
415,2,3,1,17,0
318,23,6,2,0,0
169,27,5,6,12,0
341,19,9,7,0,0
64,20,0,4,12,0
258,20,7,2,4,0
473,20,5,3,16,0
265,2,1,2,15,0
31,27,4,2,17,0
431,6,1,8,9,0
443,17,9,3,16,0
112,12,6,5,6,0
459,5,9,2,14,0
310,2,5,7,18,0
384,9,6,3,8,0
273,2,5,7,4,0
245,22,9,1,9,0
330,20,0,8,12,0
242,14,2,1,0,0
177,22,9,2,5,0
242,15,1,2,2,0
14,2,0,4,16,0
54,28,0,2,11,0
55,18,3,7,10,0
173,12,0,9,7,0
410,7,1,6,11,0
178,16,0,0,10,0
423,19,5,5,4,0
445,3,3,1,7,0
344,15,7,7,11,0
413,15,4,9,5,0
173,7,9,7,8,0
265,8,4,6,16,0
75,7,7,7,1,0
438,3,9,0,0,0
269,19,5,7,17,0
443,23,5,0,2,0
97,19,2,2,13,0
249,29,5,3,12,0
320,18,9,2,1,0
68,7,6,1,3,0
179,19,1,2,14,0
267,5,2,8,4,0
55,23,5,1,9,0
11,13,9,4,8,0
443,2,8,2,17,0
138,24,8,8,2,0
278,18,7,6,13,0
335,4,7,9,9,0
287,4,8,2,16,0
26,8,8,1,14,0
196,11,9,1,17,0
351,1,8,4,16,0
335,28,4,8,2,0
125,9,5,1,15,0
268,6,4,1,18,0
375,4,0,7,12,0
258,6,3,2,16,0
207,13,0,2,15,0
346,29,0,5,8,0
236,22,2,5,11,0
186,29,6,5,2,0
252,9,0,4,8,0
443,27,6,3,15,0
366,14,9,8,4,0
44,12,9,3,18,0
416,4,0,0,12,0
465,8,8,7,1,0
144,17,4,7,18,0
315,22,5,2,17,0
19,5,8,8,11,0
483,3,2,6,17,0
192,4,2,6,4,0
211,8,4,4,19,0
28,16,6,2,19,0
32,11,2,9,7,0
104,27,3,4,15,0
73,26,1,2,1,0
426,27,8,2,12,0
459,2,9,0,0,0
229,8,8,3,4,0
105,7,1,8,11,0
362,1,4,5,3,0
274,29,0,5,4,0
390,2,7,5,10,0
166,23,5,4,9,0
216,27,9,1,7,0
283,13,9,4,8,0
347,11,1,9,6,0
255,3,1,2,13,0
208,2,9,9,10,0
471,16,4,1,17,0
294,1,6,3,17,0
381,7,8,9,7,0
92,3,8,8,1,0
326,22,5,6,6,0
142,16,1,9,4,0
114,26,5,8,13,0
379,24,0,2,13,0
246,6,1,1,2,0
78,14,2,8,5,0
193,23,4,5,16,0
127,11,9,9,7,0
189,22,0,3,19,0
280,23,9,3,2,0
99,21,4,9,14,0
97,25,4,9,4,0
92,19,3,5,18,0
29,22,2,6,1,0
116,25,6,9,7,0
338,1,6,4,8,0
357,21,0,7,4,0
281,13,6,9,2,0
340,20,2,0,11,0
107,9,2,0,2,0
418,27,5,3,18,0
241,29,5,7,15,0
384,11,3,7,15,0
66,1,4,5,0,0
158,13,2,4,16,0
398,20,2,9,19,0
468,1,8,9,2,0
244,3,4,1,16,0
146,20,0,4,16,0
276,17,8,4,15,0
238,5,9,1,5,0
370,6,5,7,17,0
330,17,8,9,13,0
456,10,6,4,19,0
291,11,9,4,7,0
211,13,9,0,18,0
241,29,6,0,8,0
28,10,4,0,17,0
25,14,6,7,0,0
65,28,9,9,16,0
366,13,3,1,3,0
123,28,5,7,15,0
498,4,1,5,11,0
77,20,9,4,12,0
87,17,2,5,1,0
39,18,1,3,11,0
16,11,9,2,9,0
405,10,1,3,14,0
161,21,6,8,4,0
496,18,4,7,0,0
372,19,5,7,7,0
31,9,2,0,17,0
440,5,9,4,5,0
39,1,4,5,0,0
453,5,4,8,13,0
176,3,3,9,9,0
157,1,9,9,3,0
419,19,3,5,17,0
58,27,7,0,18,0
334,6,5,0,7,0
497,10,1,6,11,0
307,5,1,2,9,0
271,12,1,6,12,0
190,12,5,4,6,0
299,17,0,0,16,0
131,27,2,7,11,0
133,2,0,8,5,0
462,21,3,5,6,0
275,25,0,1,12,0
37,27,8,8,13,0
268,14,5,1,12,0
86,12,7,5,5,0
441,28,1,9,18,0
376,13,5,3,12,0
203,5,3,5,8,0
391,5,6,3,10,0
44,17,7,2,9,0
445,5,5,7,2,0
123,24,0,4,18,0
71,25,7,0,6,0
61,26,0,7,4,0
125,19,8,2,14,0
56,4,1,3,1,0
447,7,9,8,10,0
421,23,5,2,5,0
110,17,7,4,4,0
288,11,4,7,19,0
116,6,1,5,6,0
480,13,4,2,3,0
44,12,0,7,4,0
498,25,7,4,4,0
368,5,7,5,9,0
384,24,1,2,17,0
297,27,5,7,1,0
11,10,7,3,14,0
248,11,9,8,8,0
377,9,7,4,1,0
387,26,6,0,2,0
281,26,2,8,19,0
153,13,3,7,1,0
444,3,0,4,1,0
460,17,8,2,18,0
101,18,9,8,13,0
230,5,9,6,17,0
63,16,1,7,0,0
413,26,9,2,6,0
237,23,6,5,7,0
42,16,7,3,11,0
223,11,3,2,3,0
145,22,9,3,6,0
257,4,0,1,17,0
417,9,4,4,17,0
62,15,9,7,9,0
73,12,9,4,9,0
323,27,5,1,5,0
383,16,6,6,11,0
46,4,0,7,9,0
221,3,3,3,12,0
21,27,4,2,11,0
477,21,4,7,18,0
93,4,6,9,0,0
397,2,3,1,0,0
103,19,9,6,10,0
424,7,6,9,17,0
351,28,7,7,1,0
216,2,1,4,5,0
47,1,0,6,15,0
430,18,9,8,0,0
357,28,9,7,8,0
212,8,0,4,14,0
279,8,0,3,15,0
84,28,8,2,13,0
137,10,3,5,6,0
338,18,8,3,0,0
161,22,6,3,15,0
19,27,6,6,8,0
47,28,1,9,10,0
436,11,1,4,9,0
114,27,4,0,10,0
174,23,9,4,5,0
435,1,0,5,1,0
41,7,6,0,17,0
221,28,6,2,11,0
23,27,7,5,13,0
239,8,6,6,7,0
141,25,7,6,3,0
161,14,2,6,17,0
105,24,2,8,12,0
19,19,7,1,13,0
383,8,8,2,19,0
372,19,9,6,14,0
25,22,3,5,19,0
176,4,7,0,18,0
105,23,0,9,13,0
27,24,1,6,11,0
418,10,9,1,14,0
16,22,9,3,5,0
193,10,9,6,18,0
391,4,8,3,1,0
254,8,1,5,5,0
440,7,1,8,10,0
380,26,7,4,0,0
475,15,4,2,8,0
376,8,4,5,12,0
91,29,5,3,8,0
140,10,7,8,14,0
138,7,7,1,17,0
298,19,8,9,3,0
464,3,9,4,3,0
83,9,2,8,11,0
373,16,8,9,8,0
68,14,2,6,17,0
81,7,0,4,5,0
169,12,4,7,16,0
96,1,6,1,16,0
410,16,2,3,12,0
471,3,8,5,11,0
26,27,0,6,13,0
98,1,5,7,7,0
158,6,5,3,14,0
320,29,7,8,8,0
15,2,2,6,0,0
93,7,4,1,16,0
442,8,9,8,9,0
93,13,4,6,4,0
259,29,7,4,10,0
163,16,6,2,2,0
425,29,2,8,1,0
81,22,6,6,3,0
118,21,9,2,1,0
121,10,7,4,0,0
181,4,4,2,8,0
196,25,4,2,2,0
294,24,0,6,5,0
282,21,7,8,13,0
27,13,5,4,0,0
177,17,5,3,11,0
328,8,4,3,15,0
91,8,4,2,19,0
84,23,2,7,18,0
438,7,2,9,17,0
469,24,1,0,13,0
344,1,8,2,2,0
355,15,7,1,13,0
258,15,2,6,16,0
140,28,4,5,12,0
396,19,9,0,0,0
431,4,4,2,7,0
364,27,7,3,1,0
210,6,5,9,18,0
372,10,6,6,14,0
305,12,4,2,13,0
77,26,0,3,13,0
447,25,7,6,17,0
29,4,3,3,14,0
280,6,4,8,9,0
102,25,0,5,17,0
142,14,2,1,19,0
304,13,1,0,3,0
305,25,1,7,6,0
144,22,0,2,1,0
465,21,5,6,8,0
361,3,7,3,3,0
365,21,2,2,11,0
42,15,0,8,9,0
383,3,9,5,10,0
302,5,1,5,0,0
41,13,2,5,12,0
52,26,5,2,6,0
456,26,2,5,5,0
301,15,8,3,8,0
363,17,0,1,17,0
314,6,6,2,2,0
290,23,9,3,12,0
117,18,7,0,2,0
105,3,8,6,12,0
75,26,7,4,5,0
18,9,4,8,17,0
239,8,0,5,1,0
230,20,0,7,19,0
367,11,7,8,16,0
411,28,6,5,0,0
287,24,4,6,16,0
108,11,9,5,4,0
280,8,2,5,8,0
272,22,8,1,3,0
406,1,3,4,13,0
371,2,5,5,7,0
173,20,3,9,12,0
25,4,8,4,5,1
178,2,3,3,13,0
30,25,7,5,8,0
37,2,2,5,16,0
339,13,7,7,6,0
92,29,2,7,8,0
282,22,4,9,14,0
330,21,0,0,9,0
406,20,5,1,13,0
45,6,1,0,15,0
323,4,2,9,1,0
499,25,0,6,3,0
285,27,5,7,14,0
242,26,4,2,10,0
113,15,9,2,10,0
445,23,1,6,12,0
15,3,7,7,15,1
32,28,8,5,8,0
179,26,2,7,1,0
161,4,5,1,1,0
253,17,5,6,4,0
250,6,9,4,4,0
270,2,5,5,4,0
425,20,7,6,13,0
55,13,4,8,5,0
282,15,9,6,15,0
84,5,9,0,15,0
292,28,7,4,7,0
205,24,2,3,4,0
32,19,6,7,12,0
96,6,0,6,2,0
378,17,3,3,8,0
130,25,4,2,3,0
427,28,6,5,7,0
158,1,5,7,15,0
159,2,5,2,10,0
74,1,1,4,18,0
169,8,1,9,9,0
455,29,1,0,6,0
293,4,9,9,11,0
91,18,7,9,7,0
16,23,6,7,9,0
191,24,0,6,4,0
367,9,8,7,4,0
463,15,7,1,12,0
23,16,8,6,1,0
487,21,3,3,11,0
192,3,4,1,10,0
323,1,4,8,1,0
53,24,8,4,14,0
183,13,7,6,19,0
23,14,9,3,6,0
309,6,5,9,7,0
434,5,9,3,2,0
82,29,9,2,16,0
232,23,0,0,19,0
11,5,6,1,5,0
219,27,8,8,14,0
270,4,3,0,12,0
99,21,3,4,12,0
352,12,4,1,11,0
405,14,7,3,13,0
343,27,4,6,8,0
261,23,3,4,9,0
392,14,7,0,4,0
342,11,4,2,4,0
364,22,7,9,19,0
56,10,0,8,5,0
344,10,2,0,11,0
172,29,6,9,16,0
125,28,0,3,15,0
412,27,4,4,17,0
88,9,5,9,5,0
456,26,0,2,9,0
380,2,6,2,19,0
17,14,8,0,8,0
32,7,8,5,1,0
278,17,2,3,2,0
288,24,3,7,9,0
40,20,0,5,7,0
423,8,3,2,8,0
179,24,4,6,18,0
139,20,6,2,0,0
404,4,4,8,1,0
418,5,7,7,19,0
166,13,6,2,3,0
31,7,0,1,15,0
135,6,1,2,11,0
412,17,6,3,1,0
466,6,2,2,14,0
178,19,1,8,17,0
175,25,8,9,15,0
166,3,9,1,11,0
339,9,7,7,17,0
31,21,7,6,13,0
481,28,2,0,11,0
273,26,9,5,4,0
312,15,8,5,3,0
399,8,7,8,17,0
272,25,1,9,16,0
221,25,6,7,15,0
474,23,7,6,9,0
173,26,6,6,16,0
145,15,8,4,11,0
261,1,6,1,11,0
214,8,6,9,3,0
353,23,0,4,2,0
311,4,1,0,0,0
251,22,4,9,11,0
329,10,0,5,7,0
424,16,9,1,7,0
288,18,6,0,11,0
70,4,4,0,3,0
474,8,4,0,15,0
315,4,7,3,1,0
311,10,8,4,3,0
481,20,9,4,3,0
308,4,0,0,10,0
403,16,9,5,2,0
104,12,3,2,9,0
157,10,1,3,11,0
409,25,8,4,16,0
471,11,8,3,8,0
268,2,0,3,1,0
39,16,2,9,17,0
27,23,9,0,11,0
196,19,7,1,5,0
463,12,1,1,17,0
221,4,1,1,12,0
44,17,1,9,14,0
156,12,4,0,0,0
291,16,8,9,7,0
44,3,6,7,17,1
85,2,6,0,19,0
81,26,1,7,11,0
258,7,1,0,19,0
66,6,4,9,11,0
366,1,6,2,0,0
314,15,6,8,9,0
19,27,8,7,18,0
222,12,2,1,18,0
370,13,0,3,10,0
246,8,8,7,2,0
243,9,0,8,13,0
422,1,7,6,17,0
232,5,4,0,5,0
113,7,7,7,8,0
336,18,6,0,8,0
107,22,8,8,16,0
235,8,1,7,3,0
231,24,8,3,3,0
333,26,9,9,18,0
498,10,4,3,15,0
487,29,4,3,16,0
482,8,0,5,2,0
343,12,5,1,6,0
289,16,9,3,4,0
52,12,9,3,2,0
360,22,9,7,11,0
391,22,9,1,18,0
432,27,2,7,8,0
357,3,9,9,2,0
162,18,2,1,2,0
348,5,2,8,15,0
461,14,3,8,19,0
299,25,8,5,12,0
233,20,7,9,5,0
482,21,5,4,0,0
128,16,7,6,10,0
223,22,7,7,17,0
62,27,0,7,2,0
229,6,8,2,17,0
448,16,0,2,10,0
252,20,1,4,14,0
62,14,8,4,2,0
411,20,6,1,11,0
126,24,9,4,11,0
400,5,0,0,16,0
456,14,2,6,0,0
340,11,0,6,10,0
51,21,4,0,14,0
404,9,3,2,8,0
256,20,7,7,6,0
402,7,8,8,10,0
300,5,3,2,17,0
257,29,2,5,6,0
110,15,3,5,17,0
96,25,2,5,14,0
362,13,5,4,15,0
458,12,0,5,14,0
93,24,1,5,3,0
270,15,7,9,2,0
230,24,2,5,13,0
163,26,3,7,2,0
60,26,0,5,15,0
47,19,2,2,14,0
268,25,0,6,18,0
478,24,9,5,9,0
196,19,4,8,16,0
22,10,0,3,3,0
232,17,8,0,17,0
474,16,6,5,9,0
428,5,7,8,15,0
96,29,8,7,2,0
268,4,9,1,11,0
190,24,7,2,18,0
320,22,2,7,2,0
182,10,6,8,8,0
331,21,6,7,6,0
204,25,6,9,15,0
349,6,7,0,0,0
254,29,3,2,14,0
437,11,5,7,1,0
338,11,1,0,15,0
377,27,6,6,6,0
205,16,8,3,13,0
71,14,4,6,1,0
34,27,3,3,17,0
61,19,1,7,0,0
59,22,6,5,15,0
387,28,1,9,8,0
394,27,1,9,2,0
304,28,8,7,12,0
61,4,1,0,1,0
341,5,9,8,17,0
49,22,2,8,1,0
241,25,2,5,7,0
69,19,1,8,2,0
225,17,9,5,16,0
466,18,2,5,1,0
375,8,8,3,5,0
349,4,2,2,7,0
206,23,4,2,16,0
285,18,6,1,5,0
350,28,0,3,11,0
11,11,0,8,15,0
478,26,9,6,5,0
115,14,1,2,1,0
225,13,0,7,2,0
274,24,0,8,8,0
176,26,9,0,18,0
256,16,3,0,9,0
423,28,9,8,12,0
447,12,2,8,19,0
219,9,0,6,12,0
67,7,2,2,19,0
437,10,0,3,14,0
52,29,2,6,12,0
147,27,3,8,12,0
118,17,7,7,5,0
498,18,2,7,17,0
57,25,2,0,6,0
135,26,8,5,2,0
478,7,8,5,0,0
223,27,5,4,11,0
410,3,9,0,4,0
137,15,3,2,10,0
398,16,9,3,11,0
207,21,4,9,15,0
211,17,8,6,0,0
201,13,0,4,17,0
116,26,6,1,0,0
203,3,6,2,4,0
336,27,9,0,3,0
247,20,0,5,0,0
141,20,0,7,14,0
366,23,8,3,4,0
92,5,6,1,6,0
293,9,3,3,16,0
477,23,8,9,19,0
231,18,4,3,5,0
115,29,2,4,12,0
303,11,1,2,14,0
75,11,8,8,6,0
204,16,3,6,6,0
197,8,6,8,12,0
56,27,0,6,3,0
371,2,8,9,17,0
368,23,8,3,7,0
34,21,9,4,18,0
75,10,5,6,15,0
496,6,5,5,19,0
344,27,5,8,17,0
76,4,4,2,15,0
206,21,0,7,15,0
255,28,3,9,1,0
305,5,9,3,13,0
109,23,0,8,18,0
187,11,4,0,15,0
124,12,3,4,3,0
177,16,7,3,12,0
128,20,0,4,7,0
495,21,7,5,2,0
174,14,7,0,2,0
228,14,0,7,4,0
206,20,8,2,10,0
410,20,8,6,12,0
327,15,5,6,1,0
495,8,0,8,5,0
246,27,6,6,6,0
178,5,6,7,3,0
85,29,8,3,8,0
435,9,0,9,17,0
296,21,7,3,13,0
42,16,7,9,5,0
308,24,6,7,19,0
358,3,5,3,1,0
239,12,0,3,3,0
204,7,9,9,14,0
303,17,7,2,2,0
306,15,4,2,3,0
383,15,3,3,3,0
456,12,4,1,14,0
433,21,4,2,10,0
423,2,9,1,16,0
440,8,2,5,14,0
287,28,3,2,2,0
239,22,3,1,9,0
105,5,7,8,3,0
392,3,4,7,12,0
448,29,5,4,1,0
180,1,9,8,5,0
326,16,1,4,18,0
339,10,8,4,7,0
41,26,7,3,5,0
397,10,7,2,19,0
486,11,9,9,13,0
54,26,4,8,7,0
81,12,4,3,5,0
29,8,2,6,11,0
248,27,1,4,8,0
208,5,8,6,6,0
74,9,5,7,12,0
197,11,7,7,15,0
98,15,3,9,7,0
419,23,4,5,13,0
210,17,9,4,15,0
32,11,4,1,19,0
305,13,9,7,5,0
139,17,3,4,3,0
163,23,1,7,3,0
87,27,5,5,2,0
199,7,3,7,9,0
309,9,3,0,5,0
424,18,9,8,17,0
163,23,2,8,12,0
122,18,7,2,10,0
348,10,5,4,3,0
495,12,8,6,7,0
126,26,4,7,2,0
14,18,5,6,11,0
386,21,8,2,12,0
335,9,3,6,10,0
44,9,9,0,8,0
281,10,6,4,3,0
168,1,9,8,10,0
219,11,9,1,7,0
23,14,5,2,17,0
34,23,5,8,2,0
344,26,5,2,3,0
227,10,3,7,16,0
263,28,9,5,15,0
493,14,5,6,6,0
212,19,6,4,1,0
110,26,1,9,4,0
370,10,8,6,0,0
238,17,6,9,12,0
208,2,2,9,11,0
411,22,9,2,18,0
187,14,9,4,7,0
285,26,6,5,7,0
321,18,9,8,11,0
139,2,9,3,3,0
419,20,4,7,6,0
288,19,8,7,15,0
297,24,5,9,17,0
150,8,6,5,5,0
22,6,3,7,17,0
410,20,1,4,3,0
226,7,3,0,8,0
195,25,8,3,12,0
479,13,2,5,18,0
36,2,6,8,11,1
410,22,3,3,15,0
227,7,2,5,4,0
431,1,4,9,1,0
23,6,1,4,2,0
151,16,9,8,12,0
405,8,3,9,6,0
334,13,6,5,12,0
494,23,1,2,15,0
333,18,9,1,13,0
64,14,5,2,17,0
200,18,4,5,12,0
294,29,2,9,13,0
98,4,4,7,8,0
54,15,9,7,7,0
141,5,6,4,4,0
409,21,2,0,6,0
75,14,7,0,15,0
288,16,6,6,9,0
333,15,3,1,2,0
157,11,4,3,16,0
154,2,9,9,9,0
445,23,3,4,10,0
15,24,1,7,19,0
91,18,8,9,9,0
477,4,0,8,17,0
132,15,7,0,0,0
176,12,3,8,3,0
246,27,8,4,2,0
114,27,2,3,19,0
299,3,6,9,5,0
497,4,2,4,5,0
247,21,9,8,16,0
319,16,6,7,18,0
481,6,1,9,16,0
91,2,2,4,16,0
103,26,7,9,16,0
330,22,6,4,2,0
352,9,2,0,13,0
294,12,7,8,1,0
306,12,8,2,3,0
370,27,1,0,17,0
328,24,1,4,1,0
425,14,6,9,11,0
75,17,7,2,14,0
121,9,4,5,12,0
365,12,1,6,10,0
